year,area_code,value
2003,001-019-419-013,0.0670269504189491
2003,001-019-419-005,0.0612611249089241
2003,001-002-015,0.0528036057949066
2003,001-009-054,0.0037777167744934
2003,001-142-030,0.132414013147354
2003,001-002-202-011-GIN,0.0494885072112083
2003,001-002-202-011-LBR,0.0232970993965864
2003,001-002-202-011-GHA,0.0818068981170654
2003,001-002-202-011-SLE,0.0642009526491165
2003,001-002-202-011-NGA,0.116283543407917
2003,001-002-202-011-SEN,0.0457645393908024
2003,001-002-202-011-MRT,0.0025288520846515
2003,001-009-054-FJI,0.0573505535721779
2003,001-150-155-DEU,0.368804484605789
2003,001-019-021-CAN,0.034341674298048
2003,001-002-015-ESH,0.0117083238437772
2003,001-002-015-TUN,0.189255997538567
2003,001-142-145,0.0348914824426174
2003,001-150-154,0.128318890929222
2003,001-002-015-LBY,0.009937317110598
2003,001-150-155-NLD,0.382758289575577
2003,001-150-155-LUX,0.308090895414352
2003,001-002-015-EGY,0.0132053168490529
2003,001-150-155,0.366171300411224
2003,001-002-202-011-CPV,0.0235972888767719
2003,001-142-035,0.0998302325606346
2003,global,0.0726361870765686
2003,001-002,0.0367368161678314
2003,001-002-202-017-CMR,0.0257514324039221
2003,001-002-202-018-BWA,0.0168067198246717
2003,001-150-154-ALA,0.0823770239949226
2003,001-150-154-GBR,0.424652636051178
2003,001-150-151-SVK,0.128841057419777
2003,001-019-021-USA,0.163200616836548
2003,001-009-053-AUS,0.0643090978264809
2003,001-009-054-VUT,0.0205279774963856
2003,001-002-202-017-AGO,0.0025607252027839
2003,001-150-039,0.190229833126068
2003,001-002-202-018-SWZ,0.153532460331917
2003,001-150-154-NOR,0.0177535396069288
2003,001-150-151-MDA,0.245858579874039
2003,001-150-039-SMR,0.257694184780121
2003,001-150-151-BLR,0.0809680223464966
2003,001-019-419-029-HTI,0.259668171405792
2003,001-019-419-029-CUW,0.0250531211495399
2003,001-150-155-CHE,0.18249224126339
2003,001-150-154-ISL,0.0025561398360878
2003,,0.145568862557411
2003,001-150-155-FRA,0.403148591518402
2003,001-019-419-029-BRB,0.106592133641243
2003,001-142-034-AFG,0.0528385750949383
2003,001-150-154-IRL,0.39912149310112
2003,001-019-419-013-CRI,0.0829592198133469
2003,001-019-419-013-HND,0.0613057799637318
2003,001-142-034-BGD,0.361485004425049
2003,001-142-034-LKA,0.153383448719978
2003,001-002-202-017-STP,0.0049040638841688
2003,001-002-202-017-CAF,0.0009497497230768
2003,001-002-202-017-COG,0.0010549486614763
2003,001-150-154-SWE,0.0476562641561031
2003,001-150-155-BEL,0.339527428150177
2003,001-150-154-DNK,0.49605330824852
2003,001-150-154-FIN,0.0518369227647781
2003,001-142-145-AZE,0.099146194756031
2003,001-142-145-BHR,0.0225049890577793
2003,001-142-035-VNM,0.138081640005112
2003,001-142-145-OMN,0.0023811671417206
2003,001-142-145-CYP,0.0313649885356426
2003,001-142-145-IRQ,0.0400164425373077
2003,001-142-145-ISR,0.0709837302565575
2003,001-142-143-TKM,0.0131182204931974
2003,001-002-202-014-MUS,0.0879387632012367
2003,001-002-202-014-REU,0.0187957510352135
2003,001-142-145-GEO,0.0573243983089924
2003,001-142-145-KWT,0.0107876183465123
2003,001-150-039-MLT,0.0759770199656487
2003,001-142-145-PSE,0.0611187815666199
2003,001-142-035-MMR,0.0704908221960068
2003,001-142-035-MYS,0.0875586867332458
2003,001-150-151-BGR,0.121202401816845
2003,001-150-039-GRC,0.174157649278641
2003,001-019-419-029-PRI,0.106897339224815
2003,001-142-030-HKG,0.0117124179378152
2003,001-019-419-029-TCA,0.0088858501985669
2003,001-150-039-MKD,0.166671499609947
2003,001-150-039-HRV,0.0951035693287849
2003,001-142-030-JPN,0.0811723098158836
2003,001-150-151-UKR,0.178071901202202
2003,001-150-151-CZE,0.191034957766533
2003,001-150-039-BIH,0.12384257465601
2003,001-142-035-TLS,0.0657511726021767
2003,001-142-145-LBN,0.133232951164246
2003,001-142-035-LAO,0.0253326166421175
2003,001-150-154-IMN,0.199931874871254
2003,001-019-419-029-TTO,0.0577158369123936
2003,001-019-419-029-GRD,0.0819676518440247
2003,001-019-419-029-JAM,0.161109194159508
2003,001-019-419-013-SLV,0.191941633820534
2003,001-019-419-029-ATG,0.0814483612775803
2003,001-019-419-029-GLP,0.0032692174427211
2003,001-142-145-TUR,0.0919891819357872
2003,001-150-039-SRB,0.270195335149765
2003,001-150-154-FRO,0.314940065145493
2003,001-009-054-NCL,0.0053828284144401
2003,001-009-054-PNG,0.0019953423179686
2003,001-142-034-IND,0.291561484336853
2003,001-019-419-005-ECU,0.0658681690692902
2003,001-019-419-005-GUY,0.007773108780384
2003,001-019-021-GRL,0.0
2003,001-019-419-005-BOL,0.0830244943499565
2003,001-019-419-029-KNA,0.0305862203240395
2003,001-019-419-029-BHS,0.0006175852031446
2003,001-019-419-029-DOM,0.222110316157341
2003,001-142-143-UZB,0.085123784840107
2003,001-142-034-IRN,0.0432925783097744
2003,001-142-035-KHM,0.10680053383112
2003,001-019-419-005-ARG,0.0716332346200943
2003,001-150-154-LVA,0.114532954990864
2003,001-002-202-014-DJI,0.0127760041505098
2003,001-002-202-014-KEN,0.0352238118648529
2003,001-019-419-013-PAN,0.0548994205892086
2003,001-019-419-029-BES,0.0508761517703533
2003,001-019-419-029-CUB,0.188793331384659
2003,001-019-419-013-GTM,0.104432843625546
2003,001-019-419-005-SUR,0.0013196094660088
2003,001-019-419-013-BLZ,0.0098386406898498
2003,001-142-035-IDN,0.0886425971984863
2003,001-142-145-ARE,0.0184885151684284
2003,001-019-419-005-PRY,0.0929978713393211
2003,001-019-419-005-VEN,0.0343991182744503
2003,001-019-419-013-MEX,0.063387431204319
2003,001-019-419-005-COL,0.0839691087603569
2003,001-019-419-005-PER,0.034521721303463
2003,001-019-419-013-NIC,0.0872300565242767
2003,001-142-034-NPL,0.107200868427753
2003,001-142-035-BRN,0.0119558051228523
2003,001-142-030-MNG,0.0052371476776897
2003,001-142-034-BTN,0.0342407822608948
2003,001-019-419-005-GUF,0.0002719508775044
2003,001-019-419-005-URY,0.193536281585693
2003,001-002-202-014-SSD,0.106784127652645
2003,001-019-419-005-FLK,0.0
2003,001-002-202-011-CIV,0.0699368938803673
2003,001-142-034-PAK,0.134675413370132
2003,001-019-021,0.096600741147995
2003,001-009,0.0614802539348602
2003,001-019,0.0793366059660912
2003,001-019-021-SPM,0.0345379374921322
2003,001-019-419-005-BRA,0.0603592358529568
2003,001-019-419-005-CHL,0.0266403872519732
2003,001-009-061-WSM,0.0642259791493416
2003,001-002-202-014-ZWE,0.0334255434572697
2003,001-002-202-017-GAB,0.0003569598484318
2003,001-002-202-017-GNQ,0.001406988245435
2003,001-002-202-014-SOM,0.0106976591050625
2003,001-142-035-THA,0.163592115044594
2003,001-142-143-KAZ,0.0071667106822133
2003,001-002-202-014-BDI,0.1957046687603
2003,001-002-202-014-RWA,0.181914761662483
2003,001-002-202-014-MWI,0.083829253911972
2003,001-002-202-014-TZA,0.0423833280801773
2003,001-142-145-SYR,0.11348070204258
2003,001-150-039-ALB,0.139510855078697
2003,001-142-145-JOR,0.017401022836566
2003,001-142-145-SAU,0.0091002555564045
2003,001-150-039-MNE,0.11638055741787
2003,001-150-039-ESP,0.204656511545181
2003,001-142-030-PRK,0.161328554153442
2003,001-142-030-CHN,0.155186623334885
2003,001-142-030-KOR,0.123756475746632
2003,001-019-419-029-MTQ,0.0820836424827576
2003,001-009-053-NZL,0.0893433317542076
2003,001-002-202-014-ETH,0.0485389120876789
2003,001-009-054-SLB,4.93682682645158e-06
2003,001-142-035-PHL,0.158527597784996
2003,001-002-202-017-TCD,0.0054175429977476
2003,001-002-202-017-COD,0.0015214756131172
2003,001-150-155-LIE,0.213940411806107
2003,001-002-202-018-ZAF,0.0702868700027466
2003,001-002-202-014-ZMB,0.0138769717887044
2003,001-002-202-018-LSO,0.158613979816437
2003,001-150-151-ROU,0.153769239783287
2003,001-150-154-LTU,0.23031011223793
2003,001-150-151-HUN,0.219836354255676
2003,001-150-154-SJM,0.0
2003,001-150-155-AUT,0.207520768046379
2003,001-002-202-011-TGO,0.0766133368015289
2003,001-150-039-AND,0.104382939636707
2003,001-150-039-ITA,0.207977578043938
2003,001-142-145-YEM,0.0187040511518717
2003,001-002-202-011-BEN,0.0419966578483582
2003,001-002-202-011-BFA,0.0496507063508034
2003,001-002-202-011-GMB,0.0686263665556908
2003,001-009-061,0.0642259791493416
2003,001-142-143,0.0183514859527349
2003,001-002-202-018-NAM,0.0185157731175423
2003,001-150-151,0.0284338053315878
2003,001-002-015-MAR,0.141417220234871
2003,001-002-202-017,0.0040597249753773
2003,001-002-202-018,0.0441911891102791
2003,001-002-015-DZA,0.0296529158949852
2003,001-002-015-SDN,0.102696850895882
2003,001-002-202-011-GNB,0.0525139085948467
2003,001-002-202-014-COM,0.166743144392967
2003,001-002-202-014-ERI,0.0448044165968895
2003,001-142-034,0.182096138596535
2003,001-002-202-014-UGA,0.119515895843506
